benchmark comment	environment	database	module	driver	SQL statement	transaction size	bulk length	bulk size	batch size	trials	start day time	end day time	average duration (ns)	average per SQL stmnt (ns)	minimum duaration (ns)	maximum duartion (ns)
Standard tests (locally)	amd64 / Windows 10 / 10.0	db_12_2_ee	OraBench (Java 11.0.5)	JDBC (Version 19.3.0.0.0)	INSERT INTO ora_bench_table (key, data) VALUES (:key, :data)	512	1024	100000	256	10	2019.11.16 21:58:58.908762900	2019.11.16 22:19:11.629860800	54725974830	547260	29113850700	178069101600
Standard tests (locally)	amd64 / Windows 10 / 10.0	db_12_2_ee	OraBench (Java 11.0.5)	JDBC (Version 19.3.0.0.0)	SELECT data FROM ora_bench_table WHERE key = :key	512	1024	100000	256	10	2019.11.16 21:58:58.908762900	2019.11.16 22:19:11.629860800	45939954890	459400	43897556300	47837041700
Standard tests (locally)	amd64 / Windows 10 / 10.0	db_18_3_ee	OraBench (Java 11.0.5)	JDBC (Version 19.3.0.0.0)	INSERT INTO ora_bench_table (key, data) VALUES (:key, :data)	512	1024	100000	256	10	2019.11.16 22:24:45.526133800	2019.11.16 22:44:50.553762400	55997820430	559978	30864381100	228149103900
Standard tests (locally)	amd64 / Windows 10 / 10.0	db_18_3_ee	OraBench (Java 11.0.5)	JDBC (Version 19.3.0.0.0)	SELECT data FROM ora_bench_table WHERE key = :key	512	1024	100000	256	10	2019.11.16 22:24:45.526133800	2019.11.16 22:44:50.553762400	45249447450	452494	43230957400	47727038700
Standard tests (locally)	amd64 / Windows 10 / 10.0	db_19_3_ee	OraBench (Java 11.0.5)	JDBC (Version 19.3.0.0.0)	INSERT INTO ora_bench_table (key, data) VALUES (:key, :data)	512	1024	100000	256	10	2019.11.16 22:50:19.444485800	2019.11.16 23:09:33.639538300	52984754700	529848	29506415800	168944676800
Standard tests (locally)	amd64 / Windows 10 / 10.0	db_19_3_ee	OraBench (Java 11.0.5)	JDBC (Version 19.3.0.0.0)	SELECT data FROM ora_bench_table WHERE key = :key	512	1024	100000	256	10	2019.11.16 22:50:19.444485800	2019.11.16 23:09:33.639538300	45825057800	458251	43725340900	48778796600
Standard tests (locally)	amd64 / Windows 10 / 10.0	db_11_2_xe	OraBench (Java 11.0.5)	JDBC (Version 19.3.0.0.0)	INSERT INTO ora_bench_table (key, data) VALUES (:key, :data)	512	1024	100000	256	10	2019.11.17 00:41:46.616213000	2019.11.17 00:56:46.309878600	41331180390	413312	33697066500	72243633200
Standard tests (locally)	amd64 / Windows 10 / 10.0	db_11_2_xe	OraBench (Java 11.0.5)	JDBC (Version 19.3.0.0.0)	SELECT data FROM ora_bench_table WHERE key = :key	512	1024	100000	256	10	2019.11.17 00:41:46.616213000	2019.11.17 00:56:46.309878600	42196183330	421962	41678015500	42976351300
Standard tests (locally)	amd64 / Windows 10 / 10.0	db_12_2_ee	OraBench (Java 11.0.5)	JDBC (Version 19.3.0.0.0)	INSERT INTO ora_bench_table (key, data) VALUES (:key, :data)	512	1024	100000	256	10	2019.11.17 01:02:20.169956500	2019.11.17 01:21:49.269893500	51312312830	513123	29039341000	180178612300
Standard tests (locally)	amd64 / Windows 10 / 10.0	db_12_2_ee	OraBench (Java 11.0.5)	JDBC (Version 19.3.0.0.0)	SELECT data FROM ora_bench_table WHERE key = :key	512	1024	100000	256	10	2019.11.17 01:02:20.169956500	2019.11.17 01:21:49.269893500	45521038020	455210	43933347500	47518237700
Standard tests (locally)	amd64 / Windows 10 / 10.0	db_18_3_ee	OraBench (Java 11.0.5)	JDBC (Version 19.3.0.0.0)	INSERT INTO ora_bench_table (key, data) VALUES (:key, :data)	512	1024	100000	256	10	2019.11.17 01:27:21.508292000	2019.11.17 01:46:53.187637300	54351779600	543518	28031323800	217983355000
Standard tests (locally)	amd64 / Windows 10 / 10.0	db_18_3_ee	OraBench (Java 11.0.5)	JDBC (Version 19.3.0.0.0)	SELECT data FROM ora_bench_table WHERE key = :key	512	1024	100000	256	10	2019.11.17 01:27:21.508292000	2019.11.17 01:46:53.187637300	45594925090	455949	43401428300	48492787000
Standard tests (locally)	amd64 / Windows 10 / 10.0	db_19_3_ee	OraBench (Java 11.0.5)	JDBC (Version 19.3.0.0.0)	INSERT INTO ora_bench_table (key, data) VALUES (:key, :data)	512	1024	100000	256	10	2019.11.17 01:52:24.656776400	2019.11.17 02:11:20.180727100	50215632170	502156	29655949001	175957254900
Standard tests (locally)	amd64 / Windows 10 / 10.0	db_19_3_ee	OraBench (Java 11.0.5)	JDBC (Version 19.3.0.0.0)	SELECT data FROM ora_bench_table WHERE key = :key	512	1024	100000	256	10	2019.11.17 01:52:24.656776400	2019.11.17 02:11:20.180727100	45710651190	457107	43686747200	48745543300
Standard tests (Travis CI)	amd64 / Linux / 4.15.0-1028-gcp	db_11_2_xe	OraBench (Java 11.0.2)	JDBC (Version 19.3.0.0.0)	INSERT INTO ora_bench_table (key, data) VALUES (:key, :data)	512	1024	100000	256	10	2019.11.17 06:57:38.441533000	2019.11.17 07:02:24.772863000	11123499560	111235	8481773724	13476164818
Standard tests (Travis CI)	amd64 / Linux / 4.15.0-1028-gcp	db_11_2_xe	OraBench (Java 11.0.2)	JDBC (Version 19.3.0.0.0)	SELECT data FROM ora_bench_table WHERE key = :key	512	1024	100000	256	10	2019.11.17 06:57:38.441533000	2019.11.17 07:02:24.772863000	16645445140	166454	16026490277	18848110444
Standard tests (Travis CI)	amd64 / Linux / 4.15.0-1028-gcp	db_12_2_ee	OraBench (Java 11.0.2)	JDBC (Version 19.3.0.0.0)	INSERT INTO ora_bench_table (key, data) VALUES (:key, :data)	512	1024	100000	256	10	2019.11.17 07:14:02.416420000	2019.11.17 07:18:59.313480000	4979661654	49797	3228538440	9747316023
Standard tests (Travis CI)	amd64 / Linux / 4.15.0-1028-gcp	db_12_2_ee	OraBench (Java 11.0.2)	JDBC (Version 19.3.0.0.0)	SELECT data FROM ora_bench_table WHERE key = :key	512	1024	100000	256	10	2019.11.17 07:14:02.416420000	2019.11.17 07:18:59.313480000	22770626180	227706	18378538522	30540166026
